Arquivo,Estado,IP
pdb1h61.ent,2,192.168.0.10,
pdb2bmf.ent,2,192.168.0.57,
pdb2bm2.ent,2,192.168.0.57,
pdb2bm6.ent,2,192.168.0.10,
pdb2bm4.ent,2,192.168.0.57,
pdb1h68.ent,2,192.168.0.10,
pdb1bmp.ent,2,192.168.0.57,
pdb1h6f.ent,2,192.168.0.10,
pdb2bmh.ent,2,192.168.0.10,
pdb2bm9.ent,2,192.168.0.10,
pdb1bmk.ent,2,192.168.0.10,
pdb1bm8.ent,1,192.168.0.57,
pdb2bma.ent,1,192.168.0.10,
pdb2bmm.ent,0,
pdb1bmm.ent,0,
pdb1bml.ent,0,
pdb1bmb.ent,0,
pdb2bme.ent,0,
pdb1bm3.ent,0,
pdb1h6w.ent,0,
pdb1bmf.ent,0,
pdb1h6o.ent,0,
pdb1h60.ent,0,
pdb1h6p.ent,0,
pdb1h6v.ent,0,
pdb2bm7.ent,0,
pdb1bmt.ent,0,
pdb2bm1.ent,0,
pdb1h6t.ent,0,
pdb1bmo.ent,0,
pdb1h6x.ent,0,
pdb2bmc.ent,0,
pdb1bmg.ent,0,
pdb1bm2.ent,0,
pdb1bm1.ent,0,
pdb1h6l.ent,0,
pdb2bmg.ent,0,
pdb1bmq.ent,0,
pdb1h6k.ent,0,
pdb2bmq.ent,0,
pdb1h6u.ent,0,
pdb2bmk.ent,0,
pdb2bm0.ent,0,
pdb1bm7.ent,0,
pdb1h6y.ent,0,
pdb1h64.ent,0,
pdb1h6i.ent,0,
pdb1h6q.ent,0,
pdb1h63.ent,0,
pdb2bm3.ent,0,
pdb1bmn.ent,0,
pdb1h6e.ent,0,
pdb1h6b.ent,0,
pdb2bm5.ent,0,
pdb1bmz.ent,0,
pdb1bm9.ent,0,
pdb2bmb.ent,0,
pdb2bmj.ent,0,
pdb1h69.ent,0,
pdb1h6h.ent,0,
pdb1h6c.ent,0,
pdb1bmd.ent,0,
pdb1bmc.ent,0,
pdb1bma.ent,0,
pdb1h6r.ent,0,
pdb1bmv.ent,0,
pdb1h6a.ent,0,
pdb1h66.ent,0,
pdb1h6s.ent,0,
pdb2bm8.ent,0,
pdb2bmi.ent,0,
pdb2bml.ent,0,
pdb1bm0.ent,0,
pdb1h62.ent,0,
